author_name,family_name,genus_name,species,concat_species,ecocode_definition,ecocode,ecocode_abbreviation,ecocode_system,koch_type,taxon
Ahr.,CHRYSOMELIDAE,Donacia,tomentosa,Donacia tomentosa,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Donacia|tomentosa|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,tomentosa,Donacia tomentosa,on grasses,graminicolous,Ecogr,KochGroup,Ecology,Donacia|tomentosa|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,tomentosa,Donacia tomentosa,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Donacia|tomentosa|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,tomentosa,Donacia tomentosa,in swamps,paludicolous,Ecopa,KochGroup,Ecology,Donacia|tomentosa|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,tomentosa,Donacia tomentosa,on river banks,ripicolous,Ecori,KochGroup,Ecology,Donacia|tomentosa|Ahr.
Ahr.,CHRYSOMELIDAE,Donacia,tomentosa,Donacia tomentosa,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Donacia|tomentosa|Ahr.
Ahr.,DYTISCIDAE,Dytiscus,circumcinctus,Dytiscus circumcinctus,Aquatics,Aquatics,BEco01,Bugs,,Dytiscus|circumcinctus|Ahr.
Ahr.,DYTISCIDAE,Dytiscus,circumcinctus,Dytiscus circumcinctus,Standing water (ponds) indicators,Indicators: Standing water,BEco01a,Bugs,,Dytiscus|circumcinctus|Ahr.
Ahr.,DYTISCIDAE,Dytiscus,circumcinctus,Dytiscus circumcinctus,in water,aquatic,Ecoaq,KochGroup,Ecology,Dytiscus|circumcinctus|Ahr.
Ahr.,DYTISCIDAE,Dytiscus,circumcinctus,Dytiscus circumcinctus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Dytiscus|circumcinctus|Ahr.
Ahr.,EUCNEMIDAE,Eucnemis,capucina,Eucnemis capucina,Wood and trees,Wood and trees,BEco04,Bugs,,Eucnemis|capucina|Ahr.
Ahr.,EUCNEMIDAE,Eucnemis,capucina,Eucnemis capucina,in wood,lignicolous,Ecoli,KochGroup,Ecology,Eucnemis|capucina|Ahr.
Ahr.,EUCNEMIDAE,Eucnemis,capucina,Eucnemis capucina,on a wide variety of various plant or animal species,polyphagous,FDePo,KochGroup,Food dependency,Eucnemis|capucina|Ahr.
Ahr.,EUCNEMIDAE,Eucnemis,capucina,Eucnemis capucina,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Eucnemis|capucina|Ahr.
Ahr.,EUCNEMIDAE,Eucnemis,capucina,Eucnemis capucina,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Eucnemis|capucina|Ahr.
Ahr.,EUCNEMIDAE,Eucnemis,capucina,Eucnemis capucina,feeds on wood,xylophagous,FNoXy,KochGroup,Food nourishment,Eucnemis|capucina|Ahr.
(All),CHRYSOMELIDAE,Chaetocnema,arenacea,Chaetocnema arenacea,Meadowland,Meadowland,BEco03,Bugs,,Chaetocnema|arenacea|(All)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,Heathland and moorland,Heathland & moorland,BEco12,Bugs,,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,ericeti,Altica ericeti,,tyrphophilous,HTyty,KochGroup,,Altica|ericeti|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,Meadowland,Meadowland,BEco03,Bugs,,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,prefers moisture,hygrophilous,HTyhy,KochGroup,Habitat type,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,specialises on a specific plant or animal species,monophagous,FDeMo,KochGroup,Food dependency,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,in meadows,praticolous,Ecopr,KochGroup,Ecology,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,helianthemi,Altica helianthemi,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Altica|helianthemi|(All.)
(All.),CHRYSOMELIDAE,Altica,longicollis,Altica longicollis,Heathland and moorland,Heathland & moorland,BEco12,Bugs,,Altica|longicollis|(All.)
(All.),CHRYSOMELIDAE,Altica,longicollis,Altica longicollis,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Altica|longicollis|(All.)
(All.),CHRYSOMELIDAE,Altica,longicollis,Altica longicollis,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Altica|longicollis|(All.)
(All.),CHRYSOMELIDAE,Altica,longicollis,Altica longicollis,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Altica|longicollis|(All.)
(All.),CHRYSOMELIDAE,Altica,longicollis,Altica longicollis,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Altica|longicollis|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,curtus,Longitarsus curtus,Meadowland,Meadowland,BEco03,Bugs,,Longitarsus|curtus|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,curtus,Longitarsus curtus,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Longitarsus|curtus|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,curtus,Longitarsus curtus,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Longitarsus|curtus|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,curtus,Longitarsus curtus,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Longitarsus|curtus|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,curtus,Longitarsus curtus,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Longitarsus|curtus|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,reichei,Longitarsus reichei,Disturbed ground/arable,Disturbed/arable,BEco06a,Bugs,,Longitarsus|reichei|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,reichei,Longitarsus reichei,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Longitarsus|reichei|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,reichei,Longitarsus reichei,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Longitarsus|reichei|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,reichei,Longitarsus reichei,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Longitarsus|reichei|(All.)
(All.),CHRYSOMELIDAE,Longitarsus,reichei,Longitarsus reichei,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Longitarsus|reichei|(All.)
(All.),PTILIIDAE,Acrotrichis,chevrolathii,Acrotrichis chevrolathii,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Acrotrichis|chevrolathii|(All.)
(All.),PTILIIDAE,Acrotrichis,chevrolathii,Acrotrichis chevrolathii,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Acrotrichis|chevrolathii|(All.)
(All.),PTILIIDAE,Acrotrichis,chevrolathii,Acrotrichis chevrolathii,eats dung,coprophilous,HTyco,KochGroup,Food nourishment,Acrotrichis|chevrolathii|(All.)
(All.),PTILIIDAE,Acrotrichis,chevrolathii,Acrotrichis chevrolathii,in fungi,mycetophilous,HTymy,KochGroup,Habitat type,Acrotrichis|chevrolathii|(All.)
(All.),PTILIIDAE,Acrotrichis,chevrolathii,Acrotrichis chevrolathii,in swamps,paludicolous,Ecopa,KochGroup,Ecology,Acrotrichis|chevrolathii|(All.)
(All.),PTILIIDAE,Acrotrichis,chevrolathii,Acrotrichis chevrolathii,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Acrotrichis|chevrolathii|(All.)
(All.),PTILIIDAE,Acrotrichis,montandonii,Acrotrichis montandonii,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Acrotrichis|montandonii|(All.)
(All.),PTILIIDAE,Acrotrichis,montandonii,Acrotrichis montandonii,Meadowland,Meadowland,BEco03,Bugs,,Acrotrichis|montandonii|(All.)
(All.),PTILIIDAE,Acrotrichis,montandonii,Acrotrichis montandonii,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Acrotrichis|montandonii|(All.)
(All.),PTILIIDAE,Acrotrichis,montandonii,Acrotrichis montandonii,in fungi,mycetophilous,HTymy,KochGroup,Habitat type,Acrotrichis|montandonii|(All.)
(All.),PTILIIDAE,Acrotrichis,montandonii,Acrotrichis montandonii,in plant debris (litter),phytodetriticolous,Ecopt,KochGroup,Ecology,Acrotrichis|montandonii|(All.)
(All.),PTILIIDAE,Actinopteryx,fucicola,Actinopteryx fucicola,Halotolerant (all salts),Halotolerant,BEco13,Bugs,Habitat type,Actinopteryx|fucicola|(All.)
(All.),PTILIIDAE,Actinopteryx,fucicola,Actinopteryx fucicola,tolerant of saline habitats,halotolerant,HTyht,KochGroup,Habitat type,Actinopteryx|fucicola|(All.)
(All.),PTILIIDAE,Actinopteryx,fucicola,Actinopteryx fucicola,on river banks,ripicolous,Ecori,KochGroup,Ecology,Actinopteryx|fucicola|(All.)
(All.),PTILIIDAE,Actinopteryx,fucicola,Actinopteryx fucicola,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Actinopteryx|fucicola|(All.)
(All.),PTILIIDAE,Microptilium,pulchellum,Microptilium pulchellum,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Microptilium|pulchellum|(All.)
(All.),PTILIIDAE,Oligella,foveolata,Oligella foveolata,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Oligella|foveolata|(All.)
(All.),PTILIIDAE,Oligella,foveolata,Oligella foveolata,Meadowland,Meadowland,BEco03,Bugs,,Oligella|foveolata|(All.)
(All.),PTILIIDAE,Oligella,foveolata,Oligella foveolata,Pasture/Dung,Pasture/Dung,BEco02,Bugs,,Oligella|foveolata|(All.)
(All.),PTILIIDAE,Oligella,foveolata,Oligella foveolata,eats dung,coprophilous,HTyco,KochGroup,Food nourishment,Oligella|foveolata|(All.)
(All.),PTILIIDAE,Oligella,foveolata,Oligella foveolata,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Oligella|foveolata|(All.)
(All.),PTILIIDAE,Oligella,foveolata,Oligella foveolata,in fungi,mycetophilous,HTymy,KochGroup,Habitat type,Oligella|foveolata|(All.)
(All.),PTILIIDAE,Ptiliolum,spencei,Ptiliolum spencei,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Ptiliolum|spencei|(All.)
(All.),PTILIIDAE,Ptilium,exaratum,Ptilium exaratum,Dung/foul decaying habitats,Dung/foul habitats,BEco07a,Bugs,,Ptilium|exaratum|(All.)
(All.),PTILIIDAE,Ptilium,exaratum,Ptilium exaratum,Meadowland,Meadowland,BEco03,Bugs,,Ptilium|exaratum|(All.)
(All.),PTILIIDAE,Ptilium,myrmecophilum,Ptilium myrmecophilum,Meadowland,Meadowland,BEco03,Bugs,,Ptilium|myrmecophilum|(All.)
(All.),PTILIIDAE,Ptilium,myrmecophilum,Ptilium myrmecophilum,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Ptilium|myrmecophilum|(All.)
(All.),PTILIIDAE,Ptilium,myrmecophilum,Ptilium myrmecophilum,in fungi,mycetophilous,HTymy,KochGroup,Habitat type,Ptilium|myrmecophilum|(All.)
(All.),PTILIIDAE,Ptilium,myrmecophilum,Ptilium myrmecophilum,associated with ants,myrmecophilous,HTymm,KochGroup,Habitat type,Ptilium|myrmecophilum|(All.)
(All.),PTILIIDAE,Ptilium,myrmecophilum,Ptilium myrmecophilum,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Ptilium|myrmecophilum|(All.)
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,Meadowland,Meadowland,BEco03,Bugs,,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,on a wide variety of various plant or animal species,polyphagous,FDePo,KochGroup,Food dependency,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Apteropeda,splendida,Apteropeda splendida,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Apteropeda|splendida|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,Disturbed ground/arable,Disturbed/arable,BEco06a,Bugs,,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,on herbs,herbicolous,Ecohe,KochGroup,Ecology,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,on a narrow range of often closely related plant or animal species,oligophagous,FDeOl,KochGroup,Food dependency,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,feeds on leaves,phyllophagous,FNoPy,KochGroup,Food nourishment,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,only in the specified biotope,stenotopic,HRaSt,KochGroup,Habitat range,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,prefers warm localities,thermophilous,HTyth,KochGroup,Habitat type,Phyllotreta|aerea|All.
All.,CHRYSOMELIDAE,Phyllotreta,aerea,Phyllotreta aerea,prefers dry places,xerophilous,HTyxe,KochGroup,Habitat type,Phyllotreta|aerea|All.
Allen,MORDELLIDAE,Mordellistena,imitatrix,Mordellistena imitatrix,Disturbed ground/arable,Disturbed/arable,BEco06a,Bugs,,Mordellistena|imitatrix|Allen
Allen,MORDELLIDAE,Mordellistena,imitatrix,Mordellistena imitatrix,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Mordellistena|imitatrix|Allen
Allen,SCRAPTIIDAE,Scraptia,testacea,Scraptia testacea,Wood and trees,Wood and trees,BEco04,Bugs,,Scraptia|testacea|Allen
Allen,STAPHYLINIDAE,Aleochara,phycophila,Aleochara phycophila,Halotolerant (all salts),Halotolerant,BEco13,Bugs,Habitat type,Aleochara|phycophila|Allen
Angus,HYDROPHILIDAE,Helophorus,aspericollis,Helophorus aspericollis,Aquatics,Aquatics,BEco01,Bugs,,Helophorus|aspericollis|Angus
Angus,HYDROPHILIDAE,Helophorus,aspericollis,Helophorus aspericollis,in water,aquatic,Ecoaq,KochGroup,Ecology,Helophorus|aspericollis|Angus
Angus,HYDROPHILIDAE,Helophorus,mongoliensis,Helophorus mongoliensis,Aquatics,Aquatics,BEco01,Bugs,,Helophorus|mongoliensis|Angus
Apfelb.,MORDELLIDAE,Mordella,holomelaena,Mordella holomelaena,Wood and trees,Wood and trees,BEco04,Bugs,,Mordella|holomelaena|Apfelb.
Ashe,CANTHARIDAE,Cantharis,cryptica,Cantharis cryptica,Meadowland,Meadowland,BEco03,Bugs,,Cantharis|cryptica|Ashe
Ashe,CANTHARIDAE,Cantharis,cryptica,Cantharis cryptica,Wetlands/marshes,Wetlands/marshes,BEco05a,Bugs,,Cantharis|cryptica|Ashe
Ashe,CANTHARIDAE,Cantharis,cryptica,Cantharis cryptica,on trees,arboricolous,Ecoab,KochGroup,Ecology,Cantharis|cryptica|Ashe
Ashe,CANTHARIDAE,Cantharis,cryptica,Cantharis cryptica,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Cantharis|cryptica|Ashe
Ashe,CANTHARIDAE,Cantharis,cryptica,Cantharis cryptica,in woodland,silvicolous,Ecosi,KochGroup,Ecology,Cantharis|cryptica|Ashe
(Aubé),CURCULIONIDAE,Anchonidium,unguiculare,Anchonidium unguiculare,Wood and trees,Wood and trees,BEco04,Bugs,,Anchonidium|unguiculare|(Aubé)
(Aubé),CURCULIONIDAE,Comasinus,insignis,Comasinus insignis,Sandy/dry disturbed ground/arable,Sandy/dry disturbed/arable,BEco06b,Bugs,,Comasinus|insignis|(Aubé)
(Aubé),CURCULIONIDAE,Raymondionymus,marqueti,Raymondionymus marqueti,Meadowland,Meadowland,BEco03,Bugs,,Raymondionymus|marqueti|(Aubé)
(Aubé),DYTISCIDAE,Rhantus,notaticollis,Rhantus notaticollis,Aquatics,Aquatics,BEco01,Bugs,,Rhantus|notaticollis|(Aubé)
(Aubé),DYTISCIDAE,Rhantus,notaticollis,Rhantus notaticollis,in water,aquatic,Ecoaq,KochGroup,Ecology,Rhantus|notaticollis|(Aubé)
(Aubé),DYTISCIDAE,Rhantus,notaticollis,Rhantus notaticollis,in many varied biotope,eurytopic,HRaEu,KochGroup,Habitat range,Rhantus|notaticollis|(Aubé)
(Aubé),ELATERIDAE,Zorochros,flavipes,Zorochros flavipes,"Open wet habitats, shingle, etc",Open wet habitats,BEco05b,Bugs,,Zorochros|flavipes|(Aubé)
